Mes,Gravidade,QuantidadeAcidentes,QuantidadePessoasEnvolvidas
01,gravemente_feridos,20,21
01,ilesos,712,2252
01,levemente_feridos,273,377
01,moderadamente_feridos,94,111
01,mortos,17,18
02,gravemente_feridos,20,20
02,ilesos,601,1593
02,levemente_feridos,221,312
02,moderadamente_feridos,85,104
02,mortos,12,12
03,gravemente_feridos,32,37
03,ilesos,988,2448
03,levemente_feridos,364,490
03,moderadamente_feridos,142,161
03,mortos,21,21
04,gravemente_feridos,15,16
04,ilesos,527,1372
04,levemente_feridos,180,224
04,moderadamente_feridos,69,78
04,mortos,10,10
05,gravemente_feridos,10,12
05,ilesos,514,1473
05,levemente_feridos,177,228
05,moderadamente_feridos,66,70
05,mortos,12,12
06,gravemente_feridos,12,13
06,ilesos,488,1363
06,levemente_feridos,158,205
06,moderadamente_feridos,50,54
06,mortos,12,13
07,gravemente_feridos,18,19
07,ilesos,581,1763
07,levemente_feridos,182,241
07,moderadamente_feridos,67,77
07,mortos,11,12
08,gravemente_feridos,15,18
08,ilesos,532,1702
08,levemente_feridos,201,296
08,moderadamente_feridos,66,78
08,mortos,6,6
09,gravemente_feridos,24,29
09,ilesos,706,1989
09,levemente_feridos,228,348
09,moderadamente_feridos,79,89
09,mortos,21,21
10,gravemente_feridos,20,22
10,ilesos,712,1984
10,levemente_feridos,246,317
10,moderadamente_feridos,84,95
10,mortos,15,17
11,gravemente_feridos,13,16
11,ilesos,677,1951
11,levemente_feridos,240,330
11,moderadamente_feridos,77,81
11,mortos,17,18
12,gravemente_feridos,15,15
12,ilesos,793,2362
12,levemente_feridos,289,408
12,moderadamente_feridos,83,96
12,mortos,15,15
